Row,Positive,Negative,Comparative,Username,Tweet,Date,URL
1,2,0,0.091,@manahealth,"RT @pfanderson : ""Keep calm  and GET YOUR DATA"" #hdpalooza  #epatient   twitt&#8203;er.co&#8203;m/Mig&#8203;htyCa&#8203;sey/s&#8203;tatus&#8230;   ","Mon, Jun 1, 2015, 9:46 AM",https://twitter.com/manahealth/status/605415197990338560
2,2,0,0.091,@montserratlj,"RT @pfanderson : ""Keep calm  and GET YOUR DATA"" #hdpalooza  #epatient   twitt&#8203;er.co&#8203;m/Mig&#8203;htyCa&#8203;sey/s&#8203;tatus&#8230;   ","Mon, Jun 1, 2015, 9:46 AM",https://twitter.com/montserratlj/status/605415189635342336
3,2,0,0.111,@pfanderson,"""Keep calm  and GET YOUR DATA"" #hdpalooza  #epatient   twitt&#8203;er.co&#8203;m/Mig&#8203;htyCa&#8203;sey/s&#8203;tatus&#8230;   ","Mon, Jun 1, 2015, 9:45 AM",https://twitter.com/pfanderson/status/605414874429198336
4,3,0,0.075,@treatdiaries,"3 Things to Know About a #Cancer  Diagnosis - Health shared  privately so you can be social. bit.l&#8203;y/1Jn&#8203;w7RE    #epatient  #support  ","Mon, Jun 1, 2015, 9:39 AM",https://twitter.com/treatdiaries/status/605413246191796224
5,0,0,0,@cathcoste,"RT @CarlyRM : I'll be tweeting from Health Datapalooza this week as part of their Consumers' Circle. #epatient  #hdpalooza   t.co/&#8203;T5rx   …","Mon, Jun 1, 2015, 8:23 AM",https://twitter.com/cathcoste/status/605394324906475520
6,2,0,0.067,@revolverobotics,"RT @nickreeldx : 6 ways to improve  patient satisfaction. #hdpalooza  @nxtstop1  @DrSunnyMalhotra  @docnieder  @kevinmd  @sjdmd  #epatient   https:/…","Mon, Jun 1, 2015, 8:12 AM",https://twitter.com/revolverobotics/status/605391538852487171
7,2,0,0.05,@consumermedical,"Once you have a diagnosis, how will you get through it, emotionally and mentally? This video can help:  youtu&#8203;.be/t&#8203;vRpjc&#8203;bl_p4&#8203;?list&#8203;=PLrs&#8230;    #epatient ","Mon, Jun 1, 2015, 7:55 AM",https://twitter.com/consumermedical/status/605387156216000512
8,2,0,0.067,@taniaindublin,"RT @nickreeldx : 6 ways to improve  patient satisfaction. #hdpalooza  @nxtstop1  @DrSunnyMalhotra  @docnieder  @kevinmd  @sjdmd  #epatient   https:/…","Mon, Jun 1, 2015, 7:27 AM",https://twitter.com/taniaindublin/status/605380047000748034
9,0,0,0,@bostonheartmom,"RT @CarlyRM : #hdpalooza  Consumers' Circle shout out from main stage. #epatient    ","Mon, Jun 1, 2015, 7:21 AM",https://twitter.com/bostonheartmom/status/605378594920103936
10,1,0,0.042,@fksc_,"Patients as teachers: promoting  their authentic and autonomous voices #epatient  #engagement  buff.&#8203;ly/1J&#8203;hXgow   ","Mon, Jun 1, 2015, 7:20 AM",https://twitter.com/fksc_/status/605378345904275456
11,0,0,0,@jasonawolf,"RT @MightyCasey : @MandiBPro  @MsWZ  @OneGrenouille  @ReginaHolliday  @kymlmartin  @fredtrotter  I'm speechless. Imagine #ptexp  for NON #epatient  …","Mon, Jun 1, 2015, 7:14 AM",https://twitter.com/jasonawolf/status/605376810134736896
12,2,0,0.067,@bill_reeldx,"RT @nickreeldx : 6 ways to improve  patient satisfaction. #hdpalooza  @nxtstop1  @DrSunnyMalhotra  @docnieder  @kevinmd  @sjdmd  #epatient   https:/…","Mon, Jun 1, 2015, 7:13 AM",https://twitter.com/bill_reeldx/status/605376660888641536
13,0,0,0,@teaminspire,"New Participatory Medicine Resources for Providers tinyu&#8203;rl.co&#8203;m/nud&#8203;46lt    via @s4pm  #epatient  #hcsm ","Mon, Jun 1, 2015, 7:13 AM",https://twitter.com/teaminspire/status/605376652328218624
