Row,Positive,Negative,Comparative,Username,Tweet,Date,URL
1,0,0,0,@noebaker,"Infographic: The journey of today’s digital patient  healt&#8203;hcare&#8203;commu&#8203;nicat&#8203;ion.c&#8203;om/Ma&#8230;    #epatient  #digitalhealth  @PRDaily ","Fri, May 1, 2015, 9:33 AM",https://twitter.com/noebaker/status/594177773423333378
2,2,0,0.043,@hisbreastcancer,"RT @teaminspire : “I ask questions because knowing the answers helps  make me feel as though I have some control over my life.” #IWishMyDocto …","Fri, May 1, 2015, 9:09 AM",https://twitter.com/hisbreastcancer/status/594171817398509568
3,2,0,0.043,@azbreast,"RT @teaminspire : “I ask questions because knowing the answers helps  make me feel as though I have some control over my life.” #IWishMyDocto …","Fri, May 1, 2015, 8:55 AM",https://twitter.com/azbreast/status/594168369986797568
4,2,0,0.043,@drlisacurcio,"RT @teaminspire : “I ask questions because knowing the answers helps  make me feel as though I have some control over my life.” #IWishMyDocto …","Fri, May 1, 2015, 8:55 AM",https://twitter.com/drlisacurcio/status/594168241523695616
5,2,0,0.045,@teaminspire,"“I ask questions because knowing the answers helps  make me feel as though I have some control over my life.” #IWishMyDoctorKnew  #epatient ","Fri, May 1, 2015, 8:50 AM",https://twitter.com/teaminspire/status/594166899463753730
6,0,0,0,@consumermedical,"Newly diagnosed? Think of connecting with others as part of your treatment plan: youtu&#8203;.be/t&#8203;vRpjc&#8203;bl_p4&#8203;?list&#8203;=PLrs&#8230;    #epatient ","Fri, May 1, 2015, 8:01 AM",https://twitter.com/consumermedical/status/594154666415362049
7,0,0,0,@fksc_,"#Patienten  als #Experten  ernst nehmen - Interpharma Newsroom newsr&#8203;oom.i&#8203;nterp&#8203;harma&#8203;.ch/2&#8203;015-0&#8230;    via @InselSpitalBern  #epatient  #hcsm ","Fri, May 1, 2015, 7:53 AM",https://twitter.com/fksc_/status/594152738826657792
8,0,0,0,@teaminspire,"#epatient 
 twitt&#8203;er.co&#8203;m/kat&#8203;herin&#8203;ekleo&#8203;n/sta&#8230;   ","Fri, May 1, 2015, 7:26 AM",https://twitter.com/teaminspire/status/594145942032543744
9,0,0,0,@patientpowereu,"How to become an empowered patient, with @TuLupus  @elgringoinspain  @juanfuertesguil  ow.ly&#8203;/Mllw&#8203;K    F #epatient  #patientengagement ","Fri, May 1, 2015, 3:10 AM",https://twitter.com/patientpowereu/status/594081456147853312
10,0,0,0,@megadatamama,"RT @byod_news : RT waqas8777: Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  #…","Thu, Apr 30, 2015, 9:36 PM",https://twitter.com/megadatamama/status/593997515357192194
11,0,0,0,@softwareguru1,"RT @byod_news : RT waqas8777: Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  #…","Thu, Apr 30, 2015, 9:30 PM",https://twitter.com/softwareguru1/status/593995830476013568
12,0,0,0,@byod_news,"RT waqas8777: Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  #datascience ","Thu, Apr 30, 2015, 9:29 PM",https://twitter.com/byod_news/status/593995588116549632
13,0,0,0,@byod_news,"RT byod_news: RT waqas8777: Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  …","Thu, Apr 30, 2015, 9:29 PM",https://twitter.com/byod_news/status/593995569925902336
14,0,0,0,@byod_news,"RT waqas8777: Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  #datascience ","Thu, Apr 30, 2015, 9:29 PM",https://twitter.com/byod_news/status/593995565127626752
15,0,0,0,@alfonsojavieray,"RT @waqas8777 : Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  #datascience ","Thu, Apr 30, 2015, 9:26 PM",https://twitter.com/alfonsojavieray/status/593994831942160384
16,0,0,0,@megadatamama,"RT @byod_news : RT waqas8777: Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  #…","Thu, Apr 30, 2015, 9:21 PM",https://twitter.com/megadatamama/status/593993611533889536
17,0,0,0,@data88geek,"RT @byod_news : RT waqas8777: Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  #…","Thu, Apr 30, 2015, 9:15 PM",https://twitter.com/data88geek/status/593992065899462656
18,0,0,0,@byod_news,"RT waqas8777: Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  #datascience ","Thu, Apr 30, 2015, 9:13 PM",https://twitter.com/byod_news/status/593991637342298113
19,0,0,0,@kingofpayments,"RT @waqas8777 : Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  #datascience ","Thu, Apr 30, 2015, 9:04 PM",https://twitter.com/kingofpayments/status/593989352813895680
20,0,0,0,@nosqldigest,"RT @waqas8777 : Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  #datascience ","Thu, Apr 30, 2015, 8:53 PM",https://twitter.com/nosqldigest/status/593986534690324480
21,0,0,0,@data88geek,"RT @waqas8777 : Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  #datascience ","Thu, Apr 30, 2015, 8:44 PM",https://twitter.com/data88geek/status/593984284106555392
22,0,0,0,@megadatamama,"RT @waqas8777 : Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  #datascience ","Thu, Apr 30, 2015, 8:36 PM",https://twitter.com/megadatamama/status/593982419155300353
23,0,0,0,@waqas8777,"Now #BigData  Provides Tool to Shape Future of #Radiology  #Payments  radio&#8203;logyb&#8203;usine&#8203;ss.co&#8203;m/top&#8203;ics/h&#8230;    #mhealth  #ePatient  #datascience ","Thu, Apr 30, 2015, 8:29 PM",https://twitter.com/waqas8777/status/593980586231889920
24,0,0,0,@patientchat,"Join/Share: Empowered #PatientChat  w/ @FlipTheClinic  Fri 5/1, 1pmET epnt.&#8203;in/1E&#8203;x5o1t    #carechat  #chroniclife  #s4pm  #epatient  #dsma ","Thu, Apr 30, 2015, 4:29 PM",https://twitter.com/patientchat/status/593920164535652352
25,0,0,0,@myelomateacher,"Living to Make a Difference: #Myeloma  Patient Mike Katz #mmsm  #epatient  #advocate  @eaonc  @baysidemk   ln.is&#8203;/mult&#8203;iplem&#8203;yelom&#8203;ablog&#8203;.com/&#8230;   ","Thu, Apr 30, 2015, 1:51 PM",https://twitter.com/myelomateacher/status/593880486000267264
26,2,0,0.053,@gerrywieder,"RT @digihealthhelp : Hot Now: Hot Now: RT @CelineSportisse : The new #ePatient : better  informed and more engaged #DigitalHealth  #hcsm  http://…","Thu, Apr 30, 2015, 1:30 PM",https://twitter.com/gerrywieder/status/593875055941124096
27,0,0,0,@ronusol,"RT @luisluque : A ePatient journey in 4 countries by @paisalminen    himss&#8203;.eu/m&#8203;y-jou&#8203;rney    #ePatient  cc @ePatientDave  @himsseurope  @himsseur …","Thu, Apr 30, 2015, 1:14 PM",https://twitter.com/ronusol/status/593871017094832128
28,2,0,0.067,@maxmueller6,"RT @tbau_uoc : The new e-Patient: better  informed and more engaged via @mHealthGlobal  #epatient  #mHealth  mobil&#8203;eheal&#8203;thglo&#8203;bal.c&#8203;om/in&#8203;-the-&#8230;   ","Thu, Apr 30, 2015, 12:57 PM",https://twitter.com/maxmueller6/status/593866760090210304
29,1,0,0.033,@waqas8777,"Now grant  available for post-market analysis of drugs from #EHR  #HealthIT  #BigData  #HealthcareAnalytics  hiewa&#8203;tch.c&#8203;om/ne&#8203;ws/fd&#8203;a-gra&#8203;nts-l&#8230;    #ePatient ","Thu, Apr 30, 2015, 12:56 PM",https://twitter.com/waqas8777/status/593866460008579072
30,2,0,0.067,@medinfode,"RT @tbau_uoc : The new e-Patient: better  informed and more engaged via @mHealthGlobal  #epatient  #mHealth  mobil&#8203;eheal&#8203;thglo&#8203;bal.c&#8203;om/in&#8203;-the-&#8230;   ","Thu, Apr 30, 2015, 12:44 PM",https://twitter.com/medinfode/status/593863390474477568
31,0,0,0,@treatdiaries,"Personal stories of #bladdercancer  survivorship! treat&#8203;mentd&#8203;iarie&#8203;s.com    #opc  #epatient  #patientinsights ","Thu, Apr 30, 2015, 12:38 PM",https://twitter.com/treatdiaries/status/593861881372151810
32,2,0,0.059,@digihealthhelp,"Hot Now: Hot Now: RT @CelineSportisse : The new #ePatient : better  informed and more engaged #DigitalHealth  #hcsm  buff.&#8203;ly/1a&#8203;Wvq3E   ","Thu, Apr 30, 2015, 12:30 PM",https://twitter.com/digihealthhelp/status/593859926000324608
